grid: 160.0 BPM / 16th, tick 93.8ms, phase 0.211s
each bar = 3s = 32 slots; slot = instrument with highest priority
==========================================================================================
  0    0.2 | ................................ | K 0 S 0 H 0 B 0 G 0 L 0 | low
 49  147.2 | KBKKK.SBKKK.K.HHSBBBKBKKK...SBKB | K13 S 7 H 2 B20 G 0 L 1 | high
 50  150.2 | KBKKKKKKKKSBKK..BBBKKBKKK.BBSKHK | K18 S11 H 6 B26 G 0 L 4 | high
 51  153.2 | KBK..SSSKK.HKL.HSBKBKKKKKB..SBBK | K12 S10 H 2 B17 G 0 L 2 | high
 52  156.2 | KKSKKHKKKKHHKK..SSKKKBKKK.BKSKBK | K19 S 9 H 7 B28 G 0 L 0 | high
 53  159.2 | KKKBHHHBKK..SBSKBBKKKBKKKBK.SBKK | K15 S 7 H 5 B24 G 1 L 0 | mid
 54  162.2 | KBSKK.KKKKSBKKBKKKKKKKKBBBBHHBBH | K17 S12 H 4 B27 G13 L 1 | mid
 55  165.2 | HBBBBBBBBBGG.GHBBSSBSKKKKKK.KBKB | K 8 S 9 H 2 B27 G20 L16 | high
 56  168.2 | KBK.SBK.KSSSKKKBS.SSKB..S..BKBK. | K10 S13 H 0 B18 G 0 L 0 | mid
 57  171.2 | ..K..BK....BKBK...K..HK.S...KB.. | K 7 S 4 H 3 B 9 G 0 L 0 | mid
 58  174.2 | SH......S.SHKB..S....HHK...KSBBB | K 3 S 5 H 7 B 6 G 0 L 0 | mid
 59  177.2 | KKKKKBKBKKKBK.K.SSSSSKKBHHHBGGGG | K13 S11 H 3 B24 G12 L 9 | low
 60  180.2 | G.GBBBBHHHBGGGHHHGHBHBSBGGGGG.HH | K 0 S 1 H10 B13 G23 L19 | low
 61  183.2 | HHGBBBBBHHH.SBBBBBBKKKKKSH..KKSS | K 7 S 9 H 7 B20 G14 L19 | low
 62  186.2 | KKK.....K...LSSHHHKHKSKKKSKKKBBK | K13 S12 H14 B18 G12 L19 | low
 63  189.2 | KBBKKSHHHSSSSSSSSHSBKKKKKKKKSBKK | K13 S20 H 9 B26 G10 L 8 | low
 64  192.2 | KBKKKBKKKBKHKKK.K..BKBB.SBBKKBKK | K17 S 7 H 1 B25 G 0 L 0 | mid
 65  195.2 | S.KK.BKB.BBBKKKKK.BBKBBBKB.BKBKB | K12 S 2 H 0 B23 G 0 L 0 | mid
 66  198.2 | SKKK..K.S..SKBKK...KKKKBS...KBKK | K14 S 6 H 0 B17 G 0 L 0 | high
 67  201.2 | BBK...SBKBBBK.HHK.BBKKK.SKK.SKK. | K11 S 7 H 2 B16 G 0 L 0 | high
 68  204.2 | SKK.KSK.KSK.SBKKKSS.K.SSKBSSKBK. | K13 S16 H 4 B17 G 0 L 0 | high
 69  207.2 | SHK..BKBBHBSK.K.KSH.BBK.KKHBKKS. | K10 S 9 H 9 B14 G 0 L 0 | high
 70  210.2 | SHK..BB.SSSSKBBBKB..S.K...K.SKBB | K 6 S10 H 2 B12 G 0 L 0 | high
 71  213.2 | KBSKKSKBKKKSSBKBKSBBKKKKKBB.S... | K14 S13 H 0 B25 G 0 L 0 | mid
 72  216.2 | ..SBKKKBK...HH.....BKKKKK.S.SHBB | K 9 S 5 H 4 B16 G 0 L 0 | mid
 73  219.2 | KBBBKKBBKK.BKK.BKBKBKH.BS...K... | K11 S 3 H 2 B19 G 0 L 0 | mid
 74  222.2 | K...K.H.KK.........HK.S.KBS.S.S. | K 6 S 9 H 2 B 2 G 0 L 0 | low
 75  225.2 | ..SHHHHH.....BBKKBKKKK.K....K.KK | K10 S 3 H 5 B 9 G 0 L 0 | low
 76  228.2 | BBBBKK...BBBBBKKKKKKBBBBBGG....L | K 8 S 1 H 0 B21 G13 L11 | low
 77  231.2 | BBBBBBBHBBBKBBBBGGG......B...... | K 1 S 1 H 1 B17 G17 L19 | low
 78  234.2 | ....BBBBBBBG.....BBBBB.......GBB | K 0 S 0 H 0 B14 G 8 L 8 | low
 79  237.2 | BBBBGGGBBGGBBBBBBBBBBBBBBBBBBG.. | K 0 S 0 H 0 B24 G25 L21 | low
 80  240.2 | ................................ | K 0 S 0 H 0 B 0 G 0 L 0 | low
==========================================================================================
K=µ×¹Ä S=¾ü¹Ä H=ïï B=±´Ë¹ G=ÖÐÆµÐýÂÉ(ÒÉËÆ¼ªËû) L=¸ßÆµÖ÷Òô(ÒÉËÆºÏ³ÉÆ÷)
